usage_id,user_id,feature_name,usage_date,usage_count
fu001,u001,tasks,2024-04-14,15
fu002,u001,reports,2024-04-14,3
fu003,u002,tasks,2024-04-12,8
fu004,u002,collaboration,2024-04-12,12
fu005,u004,tasks,2024-04-13,25
fu006,u004,reports,2024-04-13,10
fu007,u004,collaboration,2024-04-13,18
fu008,u006,tasks,2024-04-10,5
fu009,u007,tasks,2024-04-15,40
fu010,u007,reports,2024-04-15,22
fu011,u007,collaboration,2024-04-15,35
fu012,u009,tasks,2024-04-08,12
fu013,u010,tasks,2024-04-11,7
fu014,u013,tasks,2024-04-14,9
fu015,u013,reports,2024-04-14,4
fu016,u014,collaboration,2024-04-09,6
fu017,u018,tasks,2024-04-13,30
fu018,u018,reports,2024-04-13,15
fu019,u018,collaboration,2024-04-13,20
fu020,u019,tasks,2024-04-10,11
fu021,u020,tasks,2024-04-14,50
fu022,u020,reports,2024-04-14,28
fu023,u020,collaboration,2024-04-14,45
fu024,u001,tasks,2024-04-13,12
fu025,u001,collaboration,2024-04-13,8
fu026,u007,tasks,2024-04-14,38
fu027,u009,reports,2024-04-08,7
fu028,u020,tasks,2024-04-13,48
fu029,u018,tasks,2024-04-12,28
fu030,u004,tasks,2024-04-12,22
